business_date,country_name,currency_code,exchange_rate
26/01/2023,Afghanistan,AFN,89.0052
26/01/2023,Albania,ALL,107.295
26/01/2023,Algeria,DZD,135.99475
26/01/2023,Angola,AOA,511.25
26/01/2023,Argentina,ARA,185.3225
26/01/2023,Argentina,ARS,185.3225
26/01/2023,Armenia,AMD,395.175
26/01/2023,Aruba,AWG,1.79
26/01/2023,Australia,AUD,1.411333
26/01/2023,Austria,ATS,12.67765
26/01/2023,Azerbaijan,AZN,1.7
26/01/2023,Bahamas,BSD,1
26/01/2023,Bahrain,BHD,0.377
26/01/2023,Bangladesh,BDT,ERR!
26/01/2023,Barbados,BBD,2
26/01/2023,Belarus,BYN,2.505
26/01/2023,Belgium,BEL,37.16595
26/01/2023,Belgium,BEF,37.16595
26/01/2023,Belize,BZD,2
26/01/2023,Bermuda,BMD,1
26/01/2023,Bhutan,BTN,81.58875
26/01/2023,Bolivia,BOB,6.91
26/01/2023,Bosnia And Herzegovina,BAM,1.80195
26/01/2023,Botswana,BWP,12.7388535
26/01/2023,Brazil,BRL,5.08365
26/01/2023,Bulgaria,BGN,1.8019
26/01/2023,Burundi,BIF,2057
26/01/2023,Canada,CAD,1.3368
26/01/2023,Cape Verde,CVE,101.7928
26/01/2023,Cayman Islands,KYD,0.82
26/01/2023,Central French African Region,XAF,604.34585
26/01/2023,Central French African Region Bceao,XOF,604.34585
26/01/2023,Chile,CLP,804.645
26/01/2023,Chile,CLF,0.0228062
26/01/2023,China,CNY,6.7755
26/01/2023,China,CNH,6.74745
26/01/2023,Colombia,COP,4565.55
26/01/2023,Comoros,KMF,453.2594
26/01/2023,Costa Rica,CRC,563.525
26/01/2023,Croatia,HRK,6.94165
26/01/2023,Cyprus,CYP,0.53925
26/01/2023,Czech Republic,CZK,21.94075
26/01/2023,Denmark,DKK,6.85255
26/01/2023,Djibouti,DJF,178.08685
26/01/2023,Dominican Republic,DOP,56.73
26/01/2023,East Caribbean Region,XCD,2.7
26/01/2023,Ecuador,ECS,25000
26/01/2023,Egypt,EGP,29.89
26/01/2023,El Salvador,SVC,8.75
26/01/2023,Eritrea,ERN,15.075
26/01/2023,Estonia,EEK,14.4155
26/01/2023,Ethiopia,ETB,53.71645
26/01/2023,Europe Region,XEU,0.9213193
26/01/2023,European Union,EUR,0.9213193
26/01/2023,Fiji,FJD,2.17215
26/01/2023,Finland,FIM,5.4779
26/01/2023,France,FRF,6.04345
26/01/2023,Gambia,GMD,60.6
26/01/2023,Georgia,GEL,2.635
26/01/2023,Germany,DEM,1.80195
26/01/2023,Ghana,GHS,11.6
26/01/2023,Gibraltar,GIP,0.8093561
26/01/2023,Gold,XAU,0.0005194
26/01/2023,Greece,GRD,313.93955
26/01/2023,Guatemala,GTQ,7.8507
26/01/2023,Guinea,GNF,8628.595
26/01/2023,Haiti,HTG,147.9051
26/01/2023,Honduras,HNL,24.655
26/01/2023,Hong Kong,HKD,7.82715
26/01/2023,Hungary,HUF,356.94215
26/01/2023,Iceland,ISK,143.82
26/01/2023,India,INR,81.58875
