business_date,country_name,currency_code,exchange_rate
30/01/2023,Afghanistan,AFN,89.3406
30/01/2023,Albania,ALL,107.3
30/01/2023,Algeria,DZD,135.7425
30/01/2023,Angola,AOA,510.97
30/01/2023,Argentina,ARA,186.576
30/01/2023,Argentina,ARS,186.576
30/01/2023,Armenia,AMD,395.3
30/01/2023,Aruba,AWG,1.79
30/01/2023,Australia,AUD,1.4121301
30/01/2023,Austria,ATS,12.65835
30/01/2023,Azerbaijan,AZN,1.7
30/01/2023,Bahamas,BSD,1
30/01/2023,Bahrain,BHD,0.377
30/01/2023,Bangladesh,BDT,ERR!
30/01/2023,Barbados,BBD,2
30/01/2023,Belarus,BYN,2.51
30/01/2023,Belgium,BEL,37.1095
30/01/2023,Belgium,BEF,37.1095
30/01/2023,Belize,BZD,2
30/01/2023,Bermuda,BMD,1
30/01/2023,Bhutan,BTN,81.5075
30/01/2023,Bolivia,BOB,6.91
30/01/2023,Bosnia And Herzegovina,BAM,1.79925
30/01/2023,Botswana,BWP,12.8040973
30/01/2023,Brazil,BRL,5.09425
30/01/2023,Bulgaria,BGN,1.80005
30/01/2023,Burundi,BIF,2062.5
30/01/2023,Canada,CAD,1.33405
30/01/2023,Cape Verde,CVE,101.91335
30/01/2023,Cayman Islands,KYD,0.82
30/01/2023,Central French African Region,XAF,603.42855
30/01/2023,Central French African Region Bceao,XOF,603.42855
30/01/2023,Chile,CLP,809.55
30/01/2023,Chile,CLF,0.0229636
30/01/2023,China,CNY,6.7515
30/01/2023,China,CNH,6.74565
30/01/2023,Colombia,COP,4647.5
30/01/2023,Comoros,KMF,452.57145
30/01/2023,Costa Rica,CRC,556.055
30/01/2023,Croatia,HRK,6.93115
30/01/2023,Cyprus,CYP,0.5384
30/01/2023,Czech Republic,CZK,21.9387
30/01/2023,Denmark,DKK,6.84335
30/01/2023,Djibouti,DJF,178.0386
30/01/2023,Dominican Republic,DOP,56.8
30/01/2023,East Caribbean Region,XCD,2.7
30/01/2023,Ecuador,ECS,25000
30/01/2023,Egypt,EGP,30.085
30/01/2023,El Salvador,SVC,8.75
30/01/2023,Eritrea,ERN,15.075
30/01/2023,Estonia,EEK,14.3936
30/01/2023,Ethiopia,ETB,53.64485
30/01/2023,Europe Region,XEU,0.9199208
30/01/2023,European Union,EUR,0.9199208
30/01/2023,Fiji,FJD,2.17325
30/01/2023,Finland,FIM,5.4696
30/01/2023,France,FRF,6.0343
30/01/2023,Gambia,GMD,60.8
30/01/2023,Georgia,GEL,2.635
30/01/2023,Germany,DEM,1.79925
30/01/2023,Ghana,GHS,11.9
30/01/2023,Gibraltar,GIP,0.8076892
30/01/2023,Gold,XAU,0.0005194
30/01/2023,Greece,GRD,313.46305
30/01/2023,Guatemala,GTQ,7.8489
30/01/2023,Guinea,GNF,8607.1
30/01/2023,Haiti,HTG,147.9051
30/01/2023,Honduras,HNL,24.72
30/01/2023,Hong Kong,HKD,7.83355
30/01/2023,Hungary,HUF,358.40125
30/01/2023,Iceland,ISK,140.65
30/01/2023,India,INR,81.5075
30/01/2023,Indonesia,IDR,14970
30/01/2023,Iraq,IQD,1460
30/01/2023,Ireland,IEP,0.7244801
30/01/2023,Israel,ILS,3.4626
30/01/2023,Italy,ITL,1781.21525
30/01/2023,Jamaica,JMD,153.6493
30/01/2023,Japan,JPY,130.345
30/01/2023,Jordan,JOD,0.70965
30/01/2023,Kazakhstan,KZT,459.65
30/01/2023,Kenya,KES,124.45
30/01/2023,"Korea, Democratic People's Republic Of",KPW,130
30/01/2023,"Korea, Republic Of",KRW,1227.3
30/01/2023,Kuwait,KWD,0.30535
30/01/2023,Lao People's Democratic Republic,LAK,16829.485
30/01/2023,Latvia,LVL,0.6465
30/01/2023,Lebanon,LBP,1523
30/01/2023,Lesotho,LSL,17.34505
30/01/2023,Liberia,LRD,156.8
30/01/2023,Lithuania,LTL,3.1763
30/01/2023,Luxembourg,LUF,37.1095
30/01/2023,Macau,MOP,8.06855
30/01/2023,Madagascar,MGA,4265
30/01/2023,Malawi,MWK,1026.435
30/01/2023,Malaysia,MYR,4.244
30/01/2023,Maldives,MVR,15.41
30/01/2023,Malta,MTL,0.39495
30/01/2023,Mauritania,MRU,35.93
30/01/2023,Mauritius,MUR,44.45
30/01/2023,Mexico,MXN,18.773
30/01/2023,Mexico,MXV,7.6837
30/01/2023,Moldova,MDL,18.73
30/01/2023,Mongolia,MNT,3465.5
30/01/2023,Morocco,MAD,10.17245
30/01/2023,Mozambique,MZN,63.85
30/01/2023,Myanmar,MMK,2100
30/01/2023,Namibia,NAD,17.34505
30/01/2023,Nepal,NPR,130.412
30/01/2023,Netherlands,NLG,2.02725
30/01/2023,Netherlands Antilles,ANG,1.79
30/01/2023,New Zealand,NZD,1.5414258
30/01/2023,Nicaragua,NIO,36.4
30/01/2023,Nigeria,NGN,460.75
30/01/2023,North America Region,XNY,6.7515
30/01/2023,Norway,NOK,9.93515
30/01/2023,Oman,OMR,0.38505
30/01/2023,Pakistan,PKR,269.5
30/01/2023,Palladium Ounce,XPD,1638.24
30/01/2023,Panama,PAB,1
30/01/2023,Papua New Guinea,PGK,3.52355
30/01/2023,Paraguay,PYG,7346.935
30/01/2023,Peru,PEN,3.84265
30/01/2023,Philippines,PHP,54.555
30/01/2023,Platinum,XPT,0.0009823
30/01/2023,Poland,PLN,4.33305
30/01/2023,Portugal,PTE,184.42755
30/01/2023,Qatar,QAR,3.64175
30/01/2023,REPUBLIC OF NORTH MACEDONIA,MKD,56.62
30/01/2023,Romania,RON,4.51995
30/01/2023,Romania,ROL,45199.5
30/01/2023,Russian Federation,RUB,70.375
30/01/2023,Rwanda,RWF,1082.5
30/01/2023,SDR International Monetary Fund,XDR,0.74035
30/01/2023,Sao Tome & Principe,STN,22.7659
30/01/2023,Sao Tome & Principe,STD,21035
30/01/2023,Saudi Arabia,SAR,3.754
30/01/2023,Serbia,RSD,107.975
30/01/2023,Sierra Leone,SLL,19405.03025
30/01/2023,Sierra Leone,SLE,19.74
30/01/2023,Silver,XAG,0.0422976
30/01/2023,Singapore,SGD,1.31295
30/01/2023,Slovakia,SKK,27.71355
30/01/2023,Slovenia,SIT,220.44985
30/01/2023,Solomon Islands,SBD,8.2304526
30/01/2023,Somalia,SOS,568.60625
30/01/2023,South Africa,ZAR,17.34505
30/01/2023,Spain,ESP,153.06195
30/01/2023,Sri Lanka,LKR,366.54
30/01/2023,Sudan,SDG,566.9207
30/01/2023,Swaziland,SZL,17.34505
30/01/2023,Sweden,SEK,10.3703
30/01/2023,Switzerland,CHF,0.923
30/01/2023,Syrian Arab Republic,SYP,2511.5
30/01/2023,Taiwan,TWD,30.1095
30/01/2023,"Tanzania, United Republic Of",TZS,2339
30/01/2023,Thailand,THB,32.7125
30/01/2023,Trinidad and Tobago,TTD,6.76
30/01/2023,Tunisia,TND,3.07015
30/01/2023,Turkey,TRY,18.8105
30/01/2023,Uganda,UGX,3688.005
30/01/2023,Ukraine,UAH,36.93435
30/01/2023,United Arab Emirates,AED,3.673
30/01/2023,United Kingdom,GBP,0.8076892
30/01/2023,Uruguay,UYU,38.725
30/01/2023,Uzbekistan,UZS,11301.59
30/01/2023,Venezuela,VES,21.94145
30/01/2023,Venezuela,VEF,248520.96
30/01/2023,Vietnam,VND,23450
30/01/2023,Yemen,YER,250.375
30/01/2023,Zambia,ZMW,18.9319
30/01/2023,Zimbabwe,ZWL,780
30/01/2023,Zimbabwe,ZWR,379.5
