business_date,country_name,currency_code,exchange_rate
27/01/2023,Afghanistan,AFN,89.0052
27/01/2023,Albania,ALL,107.61
27/01/2023,Algeria,DZD,135.8855
27/01/2023,Angola,AOA,511
27/01/2023,Argentina,ARA,185.6435
27/01/2023,Argentina,ARS,185.6435
27/01/2023,Armenia,AMD,394.95
27/01/2023,Aruba,AWG,1.79
27/01/2023,Australia,AUD,1.40994
27/01/2023,Austria,ATS,12.69345
27/01/2023,Azerbaijan,AZN,1.7025
27/01/2023,Bahamas,BSD,1
27/01/2023,Bahrain,BHD,0.377
27/01/2023,Bangladesh,BDT,ERR!
27/01/2023,Barbados,BBD,2
27/01/2023,Belarus,BYN,2.51
27/01/2023,Belgium,BEL,37.21225
27/01/2023,Belgium,BEF,37.21225
27/01/2023,Belize,BZD,2
27/01/2023,Bermuda,BMD,1
27/01/2023,Bhutan,BTN,81.52375
27/01/2023,Bolivia,BOB,6.91
27/01/2023,Bosnia And Herzegovina,BAM,1.80415
27/01/2023,Botswana,BWP,12.771392
27/01/2023,Brazil,BRL,5.094
27/01/2023,Bulgaria,BGN,1.8041
27/01/2023,Burundi,BIF,2058.5
27/01/2023,Canada,CAD,1.3331
27/01/2023,Cape Verde,CVE,101.89435
27/01/2023,Cayman Islands,KYD,0.82
27/01/2023,Central French African Region,XAF,605.0985
27/01/2023,Central French African Region Bceao,XOF,605.0985
27/01/2023,Chile,CLP,806.65
27/01/2023,Chile,CLF,0.0228497
27/01/2023,China,CNY,6.7755
27/01/2023,China,CNH,6.76745
27/01/2023,Colombia,COP,4551.95
27/01/2023,Comoros,KMF,453.8239
27/01/2023,Costa Rica,CRC,560.31
27/01/2023,Croatia,HRK,6.95035
27/01/2023,Cyprus,CYP,0.5399
27/01/2023,Czech Republic,CZK,21.9621
27/01/2023,Denmark,DKK,6.86185
27/01/2023,Djibouti,DJF,178.10385
27/01/2023,Dominican Republic,DOP,56.75
27/01/2023,East Caribbean Region,XCD,2.7
27/01/2023,Ecuador,ECS,25000
27/01/2023,Egypt,EGP,29.89
27/01/2023,El Salvador,SVC,8.75
27/01/2023,Eritrea,ERN,15.075
27/01/2023,Estonia,EEK,14.4335
27/01/2023,Ethiopia,ETB,53.6536
27/01/2023,Europe Region,XEU,0.9224666
27/01/2023,European Union,EUR,0.9224666
27/01/2023,Fiji,FJD,2.1707
27/01/2023,Finland,FIM,5.48475
27/01/2023,France,FRF,6.05095
27/01/2023,Gambia,GMD,60.8
27/01/2023,Georgia,GEL,2.63
27/01/2023,Germany,DEM,1.80415
27/01/2023,Ghana,GHS,11.9
27/01/2023,Gibraltar,GIP,0.8092251
27/01/2023,Gold,XAU,0.0005198
27/01/2023,Greece,GRD,314.3305
27/01/2023,Guatemala,GTQ,7.8521
27/01/2023,Guinea,GNF,8609.805
27/01/2023,Haiti,HTG,147.9051
27/01/2023,Honduras,HNL,24.685
